Model,Production Year,Number of Engines,Engine Type,Capacity,Range (km),Fuel Consumption (L/hour),Hourly Maintenance Cost ($),Age,Sales Region,Price ($)
Bombardier CRJ200,1990,2,Turbofan,50,3000,4.49,4579.94,33,Asya,11222778.52
Bombardier CRJ200,1980,2,Turbofan,50,3000,12.71,3460.77,43,Asya,12374852.61
Airbus A350,1985,2,Turbofan,350,14800,3.52,2827.09,38,Asya,332341299.64
Boeing 737,2018,2,Turbofan,162,5700,2.13,3301.59,5,Asya,113771801.41
Boeing 777,2018,2,Turbofan,396,15600,4.83,2348.67,5,Asya,774102008.25
Airbus A320,2021,2,Turbofan,180,6300,11.45,4303.98,2,Asya,151208521.96
Airbus A320,2013,2,Turbofan,180,6300,13.72,2995.79,10,Asya,120268732.74
Bombardier CRJ200,1984,2,Turbofan,50,3000,2.12,4667.87,39,Asya,11924924.92
Airbus A350,2016,2,Turbofan,350,14800,7.75,1149.96,7,Asya,827259656.28
Airbus A350,2017,2,Turbofan,350,14800,9.4,2167.21,6,Asya,631101285.65
Bombardier CRJ200,2001,2,Turbofan,50,3000,3.52,2854.79,22,Asya,13668936.59
Airbus A320,1986,2,Turbofan,180,6300,6.39,3377.19,37,Asya,94567645.06
Airbus A350,2019,2,Turbofan,350,14800,12.32,3903.6,4,Asya,627350471.43
Cessna 172,1988,1,Piston,4,1285,27.67,3075.28,35,Asya,197915.33
Airbus A320,2009,2,Turbofan,180,6300,2.82,1608.57,14,Asya,106657081.15
Boeing 777,1980,2,Turbofan,396,15600,8.86,2998.83,43,Asya,426371079.26
Bombardier CRJ200,1994,2,Turbofan,50,3000,7.4,4356.63,29,Asya,12743435.21
Airbus A320,2010,2,Turbofan,180,6300,3.17,2018.12,13,Asya,118159887.88
Boeing 737,1990,2,Turbofan,162,5700,3.12,1869.38,33,Asya,52373972.98
Boeing 737,2006,2,Turbofan,162,5700,13.31,1007.78,17,Asya,90223603.39
Airbus A350,2008,2,Turbofan,350,14800,5.95,4216.5,15,Asya,581825079.56
Cessna 172,2005,1,Piston,4,1285,27.05,3827.64,18,Asya,239557.65
Airbus A320,2005,2,Turbofan,180,6300,2.93,3195.55,18,Asya,78456460.45
Cessna 172,1983,1,Piston,4,1285,23.08,587.31,40,Asya,216892.86
Airbus A350,2013,2,Turbofan,350,14800,5.58,3325.81,10,Asya,609981164.62
Cessna 172,1990,1,Piston,4,1285,27.39,4351.66,33,Asya,202449.34
Airbus A350,2014,2,Turbofan,350,14800,9.36,1446.24,9,Asya,583619806.04
Airbus A320,1998,2,Turbofan,180,6300,9.82,1395.18,25,Asya,94680753.31
Boeing 737,2014,2,Turbofan,162,5700,5.94,4291.41,9,Asya,93133487.02
Boeing 737,1989,2,Turbofan,162,5700,13.85,3501.67,34,Asya,71046534.31
Boeing 737,2001,2,Turbofan,162,5700,4.71,1585.6,22,Asya,76429812.7
Boeing 777,2004,2,Turbofan,396,15600,12.62,2978.11,19,Asya,485091513.39
Cessna 172,2013,1,Piston,4,1285,31.09,4452.14,10,Asya,292311.79
Airbus A350,2000,2,Turbofan,350,14800,9.81,1089.57,23,Asya,401989789.98
Airbus A350,1992,2,Turbofan,350,14800,7.41,4466.69,31,Asya,387907624.27
Cessna 172,1990,1,Piston,4,1285,15.05,3510.74,33,Asya,234055.99
Boeing 777,2009,2,Turbofan,396,15600,4.85,3892.16,14,Asya,691869575.66
Bombardier CRJ200,1991,2,Turbofan,50,3000,13.57,4830.64,32,Asya,13024585.5
Boeing 777,1987,2,Turbofan,396,15600,12.02,4962.59,36,Asya,397873526.08
Cessna 172,2022,1,Piston,4,1285,26.38,1551.31,1,Asya,356925.1
Boeing 737,1992,2,Turbofan,162,5700,9.87,2758.71,31,Asya,71924527.26
Airbus A350,1992,2,Turbofan,350,14800,8.32,3019.51,31,Asya,323209126.51
Cessna 172,1996,1,Piston,4,1285,17.34,4702.94,27,Asya,201644.45
Bombardier CRJ200,1984,2,Turbofan,50,3000,4.22,2553.43,39,Asya,12157558.67
Boeing 777,2013,2,Turbofan,396,15600,9.07,707.31,10,Asya,614296946.09
Airbus A350,2005,2,Turbofan,350,14800,13.88,682.64,18,Asya,460770256.88
Airbus A320,1999,2,Turbofan,180,6300,14.86,798.82,24,Asya,82368978.33
Airbus A320,1986,2,Turbofan,180,6300,13.2,1468.6,37,Asya,68151647.69
Boeing 777,1999,2,Turbofan,396,15600,8.36,3622.39,24,Asya,437926566.55
Airbus A350,2016,2,Turbofan,350,14800,11.89,1257.98,7,Asya,623851247.43
Bombardier CRJ200,2018,2,Turbofan,50,3000,9.85,947.73,5,Asya,24869061.81
Cessna 172,2012,1,Piston,4,1285,45.8,1231.24,11,Asya,329386.37
Airbus A350,1996,2,Turbofan,350,14800,12.73,1643.66,27,Asya,481303595.54
Cessna 172,1985,1,Piston,4,1285,13.01,3376.68,38,Asya,205440.95
Airbus A320,1985,2,Turbofan,180,6300,10.46,4264.79,38,Asya,66049166.63
Bombardier CRJ200,2022,2,Turbofan,50,3000,13.05,826.59,1,Asya,25195628.86
Bombardier CRJ200,2003,2,Turbofan,50,3000,9.96,2096.81,20,Asya,16293374.92
Bombardier CRJ200,1981,2,Turbofan,50,3000,11.15,4233.4,42,Asya,13052585.28
Bombardier CRJ200,1990,2,Turbofan,50,3000,8.6,1348.85,33,Asya,13726955.82
Boeing 737,2002,2,Turbofan,162,5700,8.5,4000.45,21,Asya,70547741.06
Airbus A320,1994,2,Turbofan,180,6300,8.27,3267.06,29,Asya,84022005.98
Airbus A350,2005,2,Turbofan,350,14800,6.62,3401.24,18,Asya,550367867.15
Cessna 172,2020,1,Piston,4,1285,13.15,3493.73,3,Asya,356222.46
Boeing 777,2019,2,Turbofan,396,15600,10.95,1212.27,4,Asya,716406741.87
Boeing 737,2012,2,Turbofan,162,5700,3.14,3262.31,11,Asya,100459912.68
Airbus A320,1987,2,Turbofan,180,6300,14.01,2038.71,36,Asya,83715438.95
Airbus A350,2008,2,Turbofan,350,14800,8.42,4244.73,15,Asya,577693724.53
Cessna 172,2018,1,Piston,4,1285,21.83,4056.17,5,Asya,343258.17
Boeing 737,1983,2,Turbofan,162,5700,13.54,2973.3,40,Asya,59272978.27
Boeing 737,1987,2,Turbofan,162,5700,10.28,4921.94,36,Asya,62295060.27
Airbus A350,2020,2,Turbofan,350,14800,13.78,1227.37,3,Asya,615316549.19
Airbus A350,2006,2,Turbofan,350,14800,11.22,3792.67,17,Asya,462254824.38
Bombardier CRJ200,1993,2,Turbofan,50,3000,12.17,2474.02,30,Asya,11783472.59
Boeing 777,1996,2,Turbofan,396,15600,4.97,3446.49,27,Asya,360640123.04
Cessna 172,2000,1,Piston,4,1285,28.21,1442.84,23,Asya,252926.75
Cessna 172,2019,1,Piston,4,1285,11.59,3620.79,4,Asya,426907.76
Boeing 777,1991,2,Turbofan,396,15600,3.84,1912.02,32,Asya,306078703.33
Boeing 777,1989,2,Turbofan,396,15600,14.85,4173.03,34,Asya,340392333.76
Airbus A350,2013,2,Turbofan,350,14800,12.02,3840.4,10,Asya,480028636.87
Boeing 737,1999,2,Turbofan,162,5700,10.62,4881.84,24,Asya,65973007.44
Bombardier CRJ200,2018,2,Turbofan,50,3000,5.65,2337.07,5,Asya,19772744.8
Boeing 777,2009,2,Turbofan,396,15600,8.89,1272.69,14,Asya,618848079.28
Bombardier CRJ200,1999,2,Turbofan,50,3000,2.0,1774.83,24,Asya,11535765.4
Cessna 172,2012,1,Piston,4,1285,20.09,1944.21,11,Asya,325737.21
Airbus A320,1990,2,Turbofan,180,6300,6.72,2193.4,33,Asya,57844935.71
Cessna 172,2008,1,Piston,4,1285,42.1,4172.15,15,Asya,290770.04
Bombardier CRJ200,1983,2,Turbofan,50,3000,11.5,1562.04,40,Asya,13163837.4
Airbus A350,1983,2,Turbofan,350,14800,3.23,681.46,40,Asya,343795373.14
Airbus A350,2011,2,Turbofan,350,14800,8.83,3151.99,12,Asya,547099711.82
Boeing 737,2010,2,Turbofan,162,5700,7.87,1413.47,13,Asya,97698510.59
Cessna 172,2021,1,Piston,4,1285,41.91,4609.43,2,Asya,454019.79
Bombardier CRJ200,2022,2,Turbofan,50,3000,2.23,2485.73,1,Asya,24336901.92
Boeing 777,2005,2,Turbofan,396,15600,4.61,681.49,18,Asya,482612750.54
Cessna 172,2002,1,Piston,4,1285,40.54,2827.04,21,Asya,283370.97
Airbus A320,1988,2,Turbofan,180,6300,11.15,4046.72,35,Asya,68752404.33
Boeing 737,2021,2,Turbofan,162,5700,14.44,4362.68,2,Asya,148607194.48
Airbus A350,1988,2,Turbofan,350,14800,4.72,2545.17,35,Asya,460384534.27
Airbus A350,2003,2,Turbofan,350,14800,10.96,1308.47,20,Asya,527132257.36
Airbus A350,2013,2,Turbofan,350,14800,6.29,4805.67,10,Asya,687216242.1
Cessna 172,2019,1,Piston,4,1285,46.06,4829.84,4,Asya,425971.22
Cessna 172,1996,1,Piston,4,1285,22.37,2410.22,27,Asya,223812.58
Airbus A320,2016,2,Turbofan,180,6300,5.74,4621.74,7,Asya,141798549.5
Airbus A320,2013,2,Turbofan,180,6300,3.24,2246.55,10,Asya,112277478.13
Cessna 172,2002,1,Piston,4,1285,20.98,2516.72,21,Asya,209024.19
Bombardier CRJ200,1996,2,Turbofan,50,3000,5.49,1790.9,27,Asya,10272851.81
Cessna 172,2023,1,Piston,4,1285,36.22,2842.34,0,Asya,497948.75
Boeing 777,1997,2,Turbofan,396,15600,13.84,2381.59,26,Asya,445367295.47
Boeing 737,1984,2,Turbofan,162,5700,7.84,2912.87,39,Asya,57976932.64
Bombardier CRJ200,2011,2,Turbofan,50,3000,8.44,4475.07,12,Asya,18825240.42
Boeing 777,1986,2,Turbofan,396,15600,11.66,1292.4,37,Asya,361846245.24
Bombardier CRJ200,2020,2,Turbofan,50,3000,2.7,2443.3,3,Asya,26799834.52
Bombardier CRJ200,2010,2,Turbofan,50,3000,5.42,1646.24,13,Asya,17231235.29
Cessna 172,2001,1,Piston,4,1285,36.73,894.98,22,Asya,249693.74
Boeing 737,1992,2,Turbofan,162,5700,6.45,3096.74,31,Asya,70333334.73
Airbus A350,2004,2,Turbofan,350,14800,6.28,3426.34,19,Asya,494106488.33
Boeing 737,2005,2,Turbofan,162,5700,13.1,3080.75,18,Asya,85280798.76
Cessna 172,1994,1,Piston,4,1285,37.59,630.49,29,Asya,190920.14
Boeing 737,1999,2,Turbofan,162,5700,3.74,4626.94,24,Asya,64170696.47
Cessna 172,1984,1,Piston,4,1285,27.72,3133.05,39,Asya,213221.94
Cessna 172,1994,1,Piston,4,1285,37.92,3761.92,29,Asya,200220.14
Boeing 777,1993,2,Turbofan,396,15600,10.15,3230.24,30,Asya,428470112.38
Airbus A350,1990,2,Turbofan,350,14800,14.74,1055.59,33,Asya,384323880.64
Airbus A350,1985,2,Turbofan,350,14800,4.96,2271.74,38,Asya,390966478.68
Boeing 737,1991,2,Turbofan,162,5700,10.37,3242.5,32,Asya,57225922.18
Boeing 777,2006,2,Turbofan,396,15600,10.6,3005.65,17,Asya,523369508.64
Boeing 737,2013,2,Turbofan,162,5700,9.75,1024.0,10,Asya,102724787.29
Airbus A320,2022,2,Turbofan,180,6300,4.65,1634.82,1,Asya,148842033.61
Airbus A350,1982,2,Turbofan,350,14800,6.43,3335.16,41,Asya,397452966.59
Airbus A320,1990,2,Turbofan,180,6300,6.77,1789.97,33,Asya,76636770.03
Airbus A350,2012,2,Turbofan,350,14800,12.57,966.99,11,Asya,573413773.79
Airbus A350,1994,2,Turbofan,350,14800,6.11,1153.79,29,Asya,397903521.45
Cessna 172,1994,1,Piston,4,1285,49.2,2295.68,29,Asya,225413.67
Airbus A350,1997,2,Turbofan,350,14800,3.12,1800.22,26,Asya,373751972.55
Boeing 737,2006,2,Turbofan,162,5700,8.86,4744.84,17,Asya,66466448.91
Airbus A350,1995,2,Turbofan,350,14800,14.36,3694.12,28,Asya,317243591.56
Airbus A320,2021,2,Turbofan,180,6300,4.58,2322.1,2,Asya,144769252.28
Boeing 777,2013,2,Turbofan,396,15600,13.12,1719.09,10,Asya,572711540.23
Bombardier CRJ200,2003,2,Turbofan,50,3000,7.76,4755.33,20,Asya,17126849.32
Airbus A350,2019,2,Turbofan,350,14800,9.58,4063.58,4,Asya,685876243.85
Airbus A320,2014,2,Turbofan,180,6300,14.06,4547.54,9,Asya,140141623.55
Airbus A350,1997,2,Turbofan,350,14800,11.04,2006.31,26,Asya,370859103.29
Airbus A350,1985,2,Turbofan,350,14800,2.58,4148.24,38,Asya,425794851.92
Airbus A350,2021,2,Turbofan,350,14800,9.13,2804.11,2,Asya,884215633.02
Boeing 777,1992,2,Turbofan,396,15600,13.73,4769.17,31,Asya,453060579.87
Boeing 777,1998,2,Turbofan,396,15600,12.53,2019.7,25,Asya,423966104.56
Airbus A320,1995,2,Turbofan,180,6300,13.13,3430.39,28,Asya,81472141.45
Boeing 777,1989,2,Turbofan,396,15600,5.87,4443.41,34,Asya,463801985.82
Bombardier CRJ200,2015,2,Turbofan,50,3000,7.29,1252.1,8,Asya,21380966.29
Airbus A350,2015,2,Turbofan,350,14800,6.44,3484.17,8,Asya,619528213.69
Cessna 172,2001,1,Piston,4,1285,17.45,525.34,22,Asya,258698.36
Cessna 172,2004,1,Piston,4,1285,24.53,948.77,19,Asya,249020.81
Cessna 172,2011,1,Piston,4,1285,34.36,898.35,12,Asya,298829.14
Airbus A350,1994,2,Turbofan,350,14800,11.36,2612.46,29,Asya,389761023.31
Bombardier CRJ200,1995,2,Turbofan,50,3000,6.5,1340.3,28,Asya,11543368.38
Cessna 172,2016,1,Piston,4,1285,31.36,3608.15,7,Asya,311491.52
Bombardier CRJ200,1991,2,Turbofan,50,3000,6.88,1683.16,32,Asya,13866620.77
Bombardier CRJ200,2003,2,Turbofan,50,3000,8.42,4162.23,20,Asya,15456838.22
Airbus A320,1988,2,Turbofan,180,6300,4.85,713.83,35,Asya,71673539.18
Airbus A350,1987,2,Turbofan,350,14800,12.17,3678.05,36,Asya,441271006.73
Boeing 737,1992,2,Turbofan,162,5700,9.54,2291.67,31,Asya,50333869.59
Boeing 737,1996,2,Turbofan,162,5700,5.87,1784.86,27,Asya,76433948.74
Boeing 737,1986,2,Turbofan,162,5700,13.01,2270.09,37,Asya,66523497.85
Boeing 777,1981,2,Turbofan,396,15600,4.8,4013.3,42,Asya,433092253.76
Cessna 172,2016,1,Piston,4,1285,19.06,1659.9,7,Asya,359680.72
Boeing 737,2017,2,Turbofan,162,5700,5.53,1467.88,6,Asya,71468914.8
Airbus A350,2023,2,Turbofan,350,14800,2.24,3588.65,0,Asya,821453344.51
Airbus A320,2006,2,Turbofan,180,6300,5.99,4066.06,17,Asya,91920809.71
Bombardier CRJ200,1985,2,Turbofan,50,3000,10.39,4665.88,38,Asya,12702744.25
Bombardier CRJ200,2017,2,Turbofan,50,3000,10.79,1088.79,6,Asya,22525952.6
Bombardier CRJ200,1990,2,Turbofan,50,3000,12.27,3019.47,33,Asya,12956256.88
Airbus A350,1986,2,Turbofan,350,14800,2.19,1034.84,37,Asya,361502884.4
Cessna 172,2019,1,Piston,4,1285,16.2,1994.33,4,Asya,396114.96
Cessna 172,1981,1,Piston,4,1285,24.89,761.75,42,Asya,222847.02
Airbus A350,2009,2,Turbofan,350,14800,12.45,4510.77,14,Asya,514782382.31
Airbus A350,2011,2,Turbofan,350,14800,6.85,604.0,12,Asya,576737203.28
Boeing 777,2017,2,Turbofan,396,15600,5.51,1988.99,6,Asya,639907568.47
Boeing 777,2017,2,Turbofan,396,15600,9.35,2713.06,6,Asya,636625975.19
Airbus A350,1997,2,Turbofan,350,14800,13.83,1904.01,26,Asya,310689752.84
Boeing 777,1997,2,Turbofan,396,15600,5.79,4521.42,26,Asya,448837038.05
Airbus A350,1995,2,Turbofan,350,14800,4.23,924.09,28,Asya,442657466.87
Airbus A320,1992,2,Turbofan,180,6300,9.96,961.41,31,Asya,80089731.74
Airbus A350,2021,2,Turbofan,350,14800,10.86,3203.33,2,Asya,713111565.49
Airbus A320,2021,2,Turbofan,180,6300,8.1,643.36,2,Asya,181713584.2
Bombardier CRJ200,2011,2,Turbofan,50,3000,7.17,4660.8,12,Asya,20699378.1
Cessna 172,1999,1,Piston,4,1285,25.66,4360.78,24,Asya,215847.28
Boeing 777,2011,2,Turbofan,396,15600,3.82,2835.0,12,Asya,596044223.26
Airbus A320,2018,2,Turbofan,180,6300,5.15,2809.14,5,Asya,135197155.4
Airbus A320,1989,2,Turbofan,180,6300,13.37,4321.1,34,Asya,76775305.13
Boeing 777,1999,2,Turbofan,396,15600,6.1,3301.32,24,Asya,419711204.6
Bombardier CRJ200,2018,2,Turbofan,50,3000,3.19,2938.46,5,Asya,24265848.92
Bombardier CRJ200,2022,2,Turbofan,50,3000,5.39,4842.64,1,Asya,25857799.18
Boeing 777,2023,2,Turbofan,396,15600,9.55,4098.1,0,Asya,885507175.14
Boeing 777,1999,2,Turbofan,396,15600,6.14,2639.87,24,Asya,431691966.49
Boeing 737,1997,2,Turbofan,162,5700,8.52,3145.49,26,Asya,70779822.36
Cessna 172,1985,1,Piston,4,1285,19.43,4586.16,38,Asya,193474.76
Cessna 172,1994,1,Piston,4,1285,32.63,1069.45,29,Asya,205452.47
Boeing 777,1990,2,Turbofan,396,15600,12.67,980.98,33,Asya,426312963.5
Cessna 172,1987,1,Piston,4,1285,34.25,3206.97,36,Asya,237661.35
Airbus A350,1985,2,Turbofan,350,14800,12.21,4071.73,38,Asya,385092859.18
Bombardier CRJ200,1982,2,Turbofan,50,3000,14.65,4338.43,41,Asya,13178748.18
Airbus A350,1988,2,Turbofan,350,14800,8.81,4093.23,35,Asya,334145901.83
Airbus A320,1996,2,Turbofan,180,6300,7.66,3712.62,27,Asya,80467286.47
Boeing 737,2011,2,Turbofan,162,5700,11.18,3829.08,12,Asya,115500504.58
Boeing 777,2017,2,Turbofan,396,15600,12.99,3335.03,6,Asya,749597564.3
Boeing 777,1989,2,Turbofan,396,15600,6.61,1835.6,34,Asya,403496032.38
Boeing 777,2000,2,Turbofan,396,15600,4.7,2316.9,23,Asya,440422407.0
Cessna 172,2004,1,Piston,4,1285,40.08,2914.5,19,Asya,275136.77
Airbus A320,2005,2,Turbofan,180,6300,13.37,4680.84,18,Asya,75821165.93
Airbus A350,2007,2,Turbofan,350,14800,5.87,2477.52,16,Asya,460485358.25
Boeing 777,2016,2,Turbofan,396,15600,8.21,4855.37,7,Asya,697170765.08
Cessna 172,1984,1,Piston,4,1285,24.83,3773.29,39,Asya,208646.56
Airbus A350,2006,2,Turbofan,350,14800,9.66,933.11,17,Asya,524156163.33
Boeing 777,2017,2,Turbofan,396,15600,5.15,550.2,6,Asya,656019892.45
Cessna 172,1981,1,Piston,4,1285,19.24,3554.49,42,Asya,235227.64
Boeing 737,2001,2,Turbofan,162,5700,3.58,1530.24,22,Asya,79453509.05
Boeing 737,2013,2,Turbofan,162,5700,3.75,3689.28,10,Asya,105702409.58
Bombardier CRJ200,2007,2,Turbofan,50,3000,14.12,951.04,16,Asya,15273115.55
Airbus A320,2015,2,Turbofan,180,6300,13.35,3096.85,8,Asya,127176441.56
Airbus A320,2012,2,Turbofan,180,6300,6.16,1899.69,11,Asya,136257920.49
Airbus A350,1987,2,Turbofan,350,14800,10.69,1609.78,36,Asya,359064455.74
Cessna 172,2019,1,Piston,4,1285,39.47,4718.87,4,Asya,458006.87
Airbus A350,2006,2,Turbofan,350,14800,14.33,735.57,17,Asya,534291076.03
Boeing 737,2013,2,Turbofan,162,5700,4.17,2328.45,10,Asya,96939145.23
Boeing 737,2005,2,Turbofan,162,5700,14.18,3197.21,18,Asya,85479325.87
Bombardier CRJ200,1990,2,Turbofan,50,3000,10.24,2169.79,33,Asya,11660422.78
Boeing 777,1987,2,Turbofan,396,15600,6.51,2611.77,36,Asya,400094788.74
Bombardier CRJ200,1995,2,Turbofan,50,3000,13.77,3757.11,28,Asya,12534847.9
Airbus A350,2006,2,Turbofan,350,14800,10.08,1430.36,17,Asya,472643917.06
Cessna 172,1998,1,Piston,4,1285,24.05,2634.68,25,Asya,234668.71
Cessna 172,1989,1,Piston,4,1285,38.71,2991.98,34,Asya,205432.66
Cessna 172,2006,1,Piston,4,1285,27.53,3255.41,17,Asya,251736.41
Airbus A320,2011,2,Turbofan,180,6300,5.44,4697.07,12,Asya,126533028.14
Airbus A320,2000,2,Turbofan,180,6300,2.15,690.51,23,Asya,75424131.63
Cessna 172,1991,1,Piston,4,1285,48.06,2134.08,32,Asya,207292.98
Boeing 737,2011,2,Turbofan,162,5700,9.67,3880.17,12,Asya,92687005.69
Boeing 737,1987,2,Turbofan,162,5700,5.14,4698.33,36,Asya,61509948.9
Airbus A350,1987,2,Turbofan,350,14800,7.48,4465.39,36,Asya,383677769.12
Boeing 737,1997,2,Turbofan,162,5700,5.97,2371.62,26,Asya,62225487.39
Airbus A350,1982,2,Turbofan,350,14800,3.31,4936.82,41,Asya,359837680.56
Bombardier CRJ200,1990,2,Turbofan,50,3000,6.37,3322.12,33,Asya,11936196.75
Boeing 737,1999,2,Turbofan,162,5700,7.24,1244.91,24,Asya,58964809.18
Cessna 172,2001,1,Piston,4,1285,15.64,2190.42,22,Asya,272330.8
Airbus A350,2003,2,Turbofan,350,14800,11.3,4525.42,20,Asya,509232659.99
Airbus A350,1997,2,Turbofan,350,14800,7.24,2085.94,26,Asya,361788903.68
Boeing 737,1994,2,Turbofan,162,5700,9.91,4503.62,29,Asya,54250282.82
Airbus A350,2000,2,Turbofan,350,14800,12.34,3333.39,23,Asya,377280649.38
Boeing 737,2016,2,Turbofan,162,5700,2.28,3596.51,7,Asya,99325412.67
Bombardier CRJ200,1986,2,Turbofan,50,3000,8.03,4764.21,37,Asya,12098601.61
Airbus A350,2007,2,Turbofan,350,14800,11.48,764.58,16,Asya,565947919.03
Boeing 777,1995,2,Turbofan,396,15600,14.06,3974.69,28,Asya,364249141.31
Cessna 172,2008,1,Piston,4,1285,35.44,1167.73,15,Asya,338967.01
Boeing 737,1985,2,Turbofan,162,5700,7.31,3603.04,38,Asya,60698346.47
Boeing 737,2008,2,Turbofan,162,5700,7.34,3062.45,15,Asya,86608736.98
Airbus A350,1984,2,Turbofan,350,14800,8.18,1880.48,39,Asya,397391003.43
Bombardier CRJ200,2019,2,Turbofan,50,3000,3.49,1598.29,4,Asya,24758775.04
Airbus A320,1986,2,Turbofan,180,6300,2.68,1656.44,37,Asya,72406975.91
Airbus A320,1988,2,Turbofan,180,6300,8.2,1512.68,35,Asya,77685245.49
Cessna 172,2015,1,Piston,4,1285,46.78,3972.51,8,Asya,351398.39
Boeing 737,2015,2,Turbofan,162,5700,8.49,1057.73,8,Asya,108287705.94
Boeing 777,1982,2,Turbofan,396,15600,7.43,3565.28,41,Asya,438418353.06
Boeing 777,1986,2,Turbofan,396,15600,14.73,942.97,37,Asya,426017233.32
Cessna 172,2021,1,Piston,4,1285,43.47,827.07,2,Asya,359036.2
Boeing 737,1988,2,Turbofan,162,5700,9.07,4445.81,35,Asya,73554871.03
Boeing 737,2002,2,Turbofan,162,5700,7.57,4687.53,21,Asya,80906228.59
Cessna 172,2021,1,Piston,4,1285,26.6,2587.01,2,Asya,444327.23
Boeing 777,1994,2,Turbofan,396,15600,14.45,1170.93,29,Asya,436514287.25
Cessna 172,2021,1,Piston,4,1285,43.9,1858.01,2,Asya,377555.76
Airbus A350,2001,2,Turbofan,350,14800,14.66,3177.36,22,Asya,440172118.53
Boeing 737,1990,2,Turbofan,162,5700,11.28,827.07,33,Asya,68899228.56
Bombardier CRJ200,2013,2,Turbofan,50,3000,11.91,1087.04,10,Asya,19671953.65
Boeing 777,1992,2,Turbofan,396,15600,12.7,2900.79,31,Asya,324349633.91
Airbus A320,2008,2,Turbofan,180,6300,7.34,4917.77,15,Asya,105920545.67
Bombardier CRJ200,2016,2,Turbofan,50,3000,9.79,2709.81,7,Asya,20289680.24
Airbus A350,2015,2,Turbofan,350,14800,6.08,2080.49,8,Asya,687579785.95
Boeing 777,1984,2,Turbofan,396,15600,4.8,3578.94,39,Asya,346502490.68
Airbus A320,2012,2,Turbofan,180,6300,12.27,1404.38,11,Asya,109214241.8
Airbus A350,1981,2,Turbofan,350,14800,3.46,4026.66,42,Asya,376154272.27
Airbus A350,1982,2,Turbofan,350,14800,6.21,3468.79,41,Asya,419586296.63
Airbus A350,1984,2,Turbofan,350,14800,4.75,2917.04,39,Asya,393630555.24
Airbus A350,1990,2,Turbofan,350,14800,11.29,787.65,33,Asya,384426447.8
Bombardier CRJ200,2022,2,Turbofan,50,3000,8.86,3846.82,1,Asya,24149673.93
Boeing 737,2018,2,Turbofan,162,5700,14.64,1462.83,5,Asya,118057750.36
Airbus A320,1985,2,Turbofan,180,6300,7.65,4900.53,38,Asya,77458224.46
Airbus A350,1981,2,Turbofan,350,14800,12.82,3555.67,42,Asya,328268274.18
Bombardier CRJ200,1990,2,Turbofan,50,3000,5.18,1316.74,33,Asya,11827544.04
Airbus A350,2012,2,Turbofan,350,14800,9.99,4247.82,11,Asya,573072729.09
Boeing 777,1991,2,Turbofan,396,15600,5.76,2411.91,32,Asya,418355222.43
Airbus A350,1994,2,Turbofan,350,14800,9.87,2980.99,29,Asya,359141746.95
Cessna 172,2003,1,Piston,4,1285,23.98,3566.82,20,Asya,225095.16
Airbus A320,1996,2,Turbofan,180,6300,2.83,2270.46,27,Asya,83733711.77
Boeing 737,2001,2,Turbofan,162,5700,14.77,2190.92,22,Asya,63447203.72
Boeing 737,2019,2,Turbofan,162,5700,9.85,2413.89,4,Asya,103811237.02
Airbus A320,2021,2,Turbofan,180,6300,3.16,1648.54,2,Asya,148400322.11
Bombardier CRJ200,1998,2,Turbofan,50,3000,8.9,3259.05,25,Asya,10555645.46
Boeing 737,1992,2,Turbofan,162,5700,5.43,1474.21,31,Asya,66935661.5
Airbus A320,2012,2,Turbofan,180,6300,9.25,2984.97,11,Asya,144265336.38
Airbus A320,1992,2,Turbofan,180,6300,11.86,4261.66,31,Asya,72833928.2
Bombardier CRJ200,2023,2,Turbofan,50,3000,2.76,3703.47,0,Asya,23626592.73
Boeing 737,1987,2,Turbofan,162,5700,11.73,4654.29,36,Asya,54324011.39
Bombardier CRJ200,2017,2,Turbofan,50,3000,5.23,4526.2,6,Asya,21140482.56
Airbus A350,1985,2,Turbofan,350,14800,9.97,2389.41,38,Asya,333603282.59
Airbus A350,1980,2,Turbofan,350,14800,14.02,1302.24,43,Asya,368084868.22
Bombardier CRJ200,2019,2,Turbofan,50,3000,9.7,1793.09,4,Asya,21142683.59
Bombardier CRJ200,1990,2,Turbofan,50,3000,2.72,1840.04,33,Asya,12645924.2
Boeing 737,1997,2,Turbofan,162,5700,9.95,1150.95,26,Asya,58030855.34
Bombardier CRJ200,1986,2,Turbofan,50,3000,7.21,4634.83,37,Asya,10510021.2
Boeing 737,1997,2,Turbofan,162,5700,5.52,1365.54,26,Asya,64895425.69
Bombardier CRJ200,2017,2,Turbofan,50,3000,3.95,2547.55,6,Asya,23627832.96
Cessna 172,2012,1,Piston,4,1285,38.71,3460.78,11,Asya,347721.36
Airbus A320,2011,2,Turbofan,180,6300,2.74,3011.22,12,Asya,112761959.55
Bombardier CRJ200,1985,2,Turbofan,50,3000,11.19,2393.42,38,Asya,11497145.72
Airbus A350,2022,2,Turbofan,350,14800,6.2,4167.53,1,Asya,768273257.35
Bombardier CRJ200,2011,2,Turbofan,50,3000,13.97,919.67,12,Asya,19612883.34
Cessna 172,2018,1,Piston,4,1285,10.99,2588.61,5,Asya,386213.01
Boeing 737,1998,2,Turbofan,162,5700,10.96,545.41,25,Asya,66666099.59
Boeing 737,1999,2,Turbofan,162,5700,10.78,4789.82,24,Asya,67537751.27
